mode,Final Selected Actions,Accuracy,AUC,TP,TN,FP,FN,Precision,Recall,F1,FP + FN
simple_ph,"2, 3, 6, 9, 10, 12, 14, 15, 19, 23, 26, 33, 34, 40, 46, 47, 53, 54, 56, 57",0.9169783096484667,0.886809297411516,1181.0,45.0,81.0,30.0,0.67,0.77,0.7,111
simple_ph,"0, 1, 4, 5, 6, 10, 13, 14, 15, 20, 29, 34, 35, 40, 41, 42, 44, 46, 48, 66",0.9132385938668661,0.8745324881141047,1180.0,41.0,82.0,34.0,0.65,0.74,0.68,116
simple_ph,"1, 4, 5, 6, 13, 19, 29, 30, 33, 36, 42, 43, 45, 47, 48, 50, 59, 60, 62, 76",0.9139865370231862,0.8640517696777602,1183.0,39.0,79.0,36.0,0.65,0.73,0.68,115
simple_ph,"0, 3, 4, 11, 13, 14, 15, 21, 27, 29, 30, 32, 34, 37, 43, 50, 52, 53, 55, 59",0.9087509349289454,0.8598098256735341,1181.0,34.0,81.0,41.0,0.63,0.69,0.65,122
simple_ph,"0, 1, 4, 5, 6, 10, 11, 12, 13, 14, 15, 17, 20, 29, 40, 44, 45, 54, 60, 63",0.9050112191473448,0.8759746434231378,1176.0,34.0,86.0,41.0,0.62,0.69,0.65,127
simple_ph,"0, 1, 4, 5, 6, 10, 13, 14, 15, 17, 20, 29, 34, 35, 40, 41, 48, 60, 64, 70",0.9087509349289454,0.8766191230850502,1177.0,38.0,85.0,37.0,0.64,0.72,0.67,122
simple_ph,"0, 1, 4, 5, 6, 10, 13, 14, 15, 17, 20, 26, 29, 33, 34, 40, 41, 44, 48, 54",0.9057591623036649,0.8901796090861067,1174.0,37.0,88.0,38.0,0.63,0.71,0.66,126
simple_ph,"0, 1, 4, 5, 10, 11, 12, 13, 14, 15, 17, 20, 21, 29, 33, 34, 35, 40, 45, 46",0.9087509349289454,0.864405705229794,1180.0,35.0,82.0,40.0,0.63,0.7,0.66,122
simple_ph,"1, 4, 5, 8, 10, 11, 12, 13, 14, 15, 17, 20, 26, 29, 33, 40, 44, 45, 53, 54",0.9080029917726253,0.8826571579503434,1175.0,39.0,87.0,36.0,0.64,0.73,0.67,123
simple_ph,"0, 1, 4, 5, 10, 12, 13, 14, 15, 17, 20, 21, 26, 29, 35, 40, 43, 46, 51, 72",0.9072550486163051,0.8830903328050713,1173.0,40.0,89.0,35.0,0.64,0.73,0.67,124
